Target,Real Name
"dengue fever,dengue,dengue fe",Dengue Fever
dysentery,Dysentery
"encephali tis,encephalitis,encephaliti s,encephalit is,encepha liti,encephal itis,encepha litis,encephaliti,encephalit,encephali",Encephalitis
"e fever,enteric fever,entericfever,enteric,ver",Enteric Fever
"food poisoning,foodpoisoning,food poi,food poison,f poisoning,food,food poisoni",Food Poisoning
"leptospirosis,leptospiros is,leptospirosi s,leptospir osis,leptospiro sis,leptospiro,leptospiros,leptospirosi",Leptospirosis
"t fever,typhusfever,typhus fever,typhus fe,typhus,typhu s",Typhus Fever
"viral hepatitis,viral hep,viralhepatitis,viral hepa,viral,v hepatitis,viral hepatit,v hep",Viral Hepatitis
"h rabies,human,hu rabies*,human rabies,ra bies,human rab,huma",Human Rabies
"chickenpox,chicken",Chickenpox
"leishmaniasis,leishmania sis,leishmani,leishmani asis,leishman iasis,leish maniasis,leishma niasis,leishmani a,leishmania",Leishmaniasis
"meningitis,meningi tis",Meningitis
"dpdhs,dhf*,wrcd,rdhs,division,divisions,eon,s,areas,around,n,ng,fever,a,b,sis,h,and,ies,is,moh,each,area",ignore


This Gap is intentionally created, to find whatever the change was made on top
The bottom part of this page, and top header SHOULD NOT BE MODIFIED BY A PROGRAM


Target,Real Name
"dengue fever,dengue,dengue fe",Dengue Fever
dysentery,Dysentery
"encephali tis,encephalitis,encephaliti s,encephalit is,encepha liti,encephal itis,encepha litis,encephaliti,encephalit,encephali",Encephalitis
"e fever,enteric fever,entericfever,enteric",Enteric Fever
"food poisoning,foodpoisoning,food poi,food poison,f poisoning,food,food poisoni",Food Poisoning
"leptospirosis,leptospiros is,leptospirosi s,leptospir osis,leptospiro sis,leptospiro,leptospiros,leptospirosi",Leptospirosis
"t fever,typhusfever,typhus fever,typhus fe,typhus,typhu s",Typhus Fever
"viral hepatitis,viral hep,viralhepatitis,viral hepa,viral,v hepatitis,viral hepatit,v hep",Viral Hepatitis
"h rabies,human,hu rabies*,human rabies,ra bies,human rab",Human Rabies
"chickenpox,chicken",Chickenpox
"leishmaniasis,leishmania sis,leishmani,leishmani asis,leishman iasis,leish maniasis,leishma niasis,leishmani a,leishmania",Leishmaniasis
"meningitis,meningi tis",Meningitis
"dpdhs,dhf*,wrcd,rdhs,division,divisions,eon,s,areas,around,n,ng,fever,a,b,sis,h,and,ies,is,moh,each,area",ignore


